"subject" "activity" "sensor" "direction" "mean" "std"
1 "LAYING" "Acc" "X" 0.22159824394 -0.9280564692
1 "LAYING" "Acc" "Y" -0.0405139534294 -0.83682740562
1 "LAYING" "Acc" "Z" -0.11320355358 -0.826061401628
1 "LAYING" "Gyro" "X" -0.9051667964 -0.82321252682
1 "LAYING" "Gyro" "Y" -0.9398550146 -0.372230682194
1 "LAYING" "Gyro" "Z" -0.87720402952 -0.49116701316
1 "SITTING" "Acc" "X" 0.261237565425532 -0.977229008297872
1 "SITTING" "Acc" "Y" -0.00130828765170213 -0.922618641914894
1 "SITTING" "Acc" "Z" -0.104544182255319 -0.93958629106383
1 "SITTING" "Gyro" "X" -0.986834701276596 -0.942854698510638
1 "SITTING" "Gyro" "Y" -0.983227877659574 -0.594065364617021
1 "SITTING" "Gyro" "Z" -0.932031700638298 -0.39939032487234
1 "STANDING" "Acc" "X" 0.278917629056604 -0.995759901509434
1 "STANDING" "Acc" "Y" -0.0161375901037736 -0.973190056415094
1 "STANDING" "Acc" "Z" -0.110601817735849 -0.979775876981132
1 "STANDING" "Gyro" "X" -0.998956617924528 -0.978599930377358
1 "STANDING" "Gyro" "Y" -0.996204860566038 -0.653732516603774
1 "STANDING" "Gyro" "Z" -0.973516449056604 -0.562677675679245
1 "WALKING" "Acc" "X" 0.277330758736842 -0.283740258842105
1 "WALKING" "Acc" "Y" -0.0173838185273684 0.114461336747368
1 "WALKING" "Acc" "Z" -0.111148103547368 -0.260027902210526
1 "WALKING" "Gyro" "X" -0.747708346105263 -0.252466470458947
1 "WALKING" "Gyro" "Y" -0.424301445368421 0.358565592315789
1 "WALKING" "Gyro" "Z" -0.299358486210526 0.437234196526316
1 "WALKING_DOWNSTAIRS" "Acc" "X" 0.289188320408163 0.0300353383483878
1 "WALKING_DOWNSTAIRS" "Acc" "Y" -0.00991850461020408 -0.0319359434489796
1 "WALKING_DOWNSTAIRS" "Acc" "Z" -0.107566190908163 -0.230434213204082
1 "WALKING_DOWNSTAIRS" "Gyro" "X" -0.724291495306122 -0.205787239326531
1 "WALKING_DOWNSTAIRS" "Gyro" "Y" -0.22478937955102 0.236703360632653
1 "WALKING_DOWNSTAIRS" "Gyro" "Z" -0.398996825510204 0.37616076122449
1 "WALKING_UPSTAIRS" "Acc" "X" 0.255461689622641 -0.35470802509434
1 "WALKING_UPSTAIRS" "Acc" "Y" -0.0239531492643396 -0.00232026501698113
1 "WALKING_UPSTAIRS" "Acc" "Z" -0.0973020020943396 -0.0194792388471698
1 "WALKING_UPSTAIRS" "Gyro" "X" -0.565893159811321 0.0721915195018868
1 "WALKING_UPSTAIRS" "Gyro" "Y" -0.496224403584906 0.431169538301887
1 "WALKING_UPSTAIRS" "Gyro" "Z" -0.192069977651132 0.327277994150943
2 "LAYING" "Acc" "X" 0.281373403958333 -0.974059464791667
2 "LAYING" "Acc" "Y" -0.0181587397583333 -0.98027739875
2 "LAYING" "Acc" "Z" -0.107245610416667 -0.984233296875
2 "LAYING" "Gyro" "X" -0.999349610625 -0.984509167708333
2 "LAYING" "Gyro" "Y" -0.979970157916667 -0.365240315729167
2 "LAYING" "Gyro" "Z" -0.985124292916667 -0.64894749125
2 "SITTING" "Acc" "X" 0.27708735173913 -0.986822279565217
2 "SITTING" "Acc" "Y" -0.0156879937282609 -0.950704499130435
2 "SITTING" "Acc" "Z" -0.109218272456522 -0.95982817173913
2 "SITTING" "Gyro" "X" -0.994052473478261 -0.958168110217391
2 "SITTING" "Gyro" "Y" -0.991487382826087 -0.607037765652174
2 "SITTING" "Gyro" "Z" -0.962625605434783 -0.457042084717391
2 "STANDING" "Acc" "X" 0.277911472222222 -0.987271889259259
2 "STANDING" "Acc" "Y" -0.0184208270166667 -0.957304989259259
2 "STANDING" "Acc" "Z" -0.105908536055556 -0.949741851296296
2 "STANDING" "Gyro" "X" -0.99460706537037 -0.948583715925926
2 "STANDING" "Gyro" "Y" -0.991624249074074 -0.527999633407407
2 "STANDING" "Gyro" "Z" -0.965560857222222 -0.505586968333333
2 "WALKING" "Acc" "X" 0.276426586440678 -0.423642838474576
2 "WALKING" "Acc" "Y" -0.0185949199145763 -0.0780912533118644
2 "WALKING" "Acc" "Z" -0.105500357966102 -0.425257524915254
2 "WALKING" "Gyro" "X" -0.846830008644068 -0.408763002542373
2 "WALKING" "Gyro" "Y" -0.54042174779661 0.346780219322034
2 "WALKING" "Gyro" "Z" -0.392230918813559 0.38487648120339
2 "WALKING_DOWNSTAIRS" "Acc" "X" 0.27761534806383 0.0463666814446808
2 "WALKING_DOWNSTAIRS" "Acc" "Y" -0.0226614158361702 0.262881788951064
2 "WALKING_DOWNSTAIRS" "Acc" "Z" -0.116812942382979 -0.10283790806383
2 "WALKING_DOWNSTAIRS" "Gyro" "X" -0.617498609148936 -0.191592563148936
2 "WALKING_DOWNSTAIRS" "Gyro" "Y" -0.357529326702128 0.0785968326659574
2 "WALKING_DOWNSTAIRS" "Gyro" "Z" -0.144548046112766 0.388665697446809
2 "WALKING_UPSTAIRS" "Acc" "X" 0.247164790395833 -0.304376406458333
2 "WALKING_UPSTAIRS" "Acc" "Y" -0.0214121132045833 0.108027279889583
2 "WALKING_UPSTAIRS" "Acc" "Z" -0.152513899520833 -0.112121021220833
2 "WALKING_UPSTAIRS" "Gyro" "X" -0.616762953125 -0.284847268104167
2 "WALKING_UPSTAIRS" "Gyro" "Y" -0.48605325875 0.236298760916667
2 "WALKING_UPSTAIRS" "Gyro" "Z" -0.0947931754416667 0.295978256525
3 "LAYING" "Acc" "X" 0.275516852741935 -0.982776639193548
3 "LAYING" "Acc" "Y" -0.0189556785048387 -0.962057544516129
3 "LAYING" "Acc" "Z" -0.101300477506452 -0.96369103483871
3 "LAYING" "Gyro" "X" -0.997004058225807 -0.97078966016129
3 "LAYING" "Gyro" "Y" -0.988425679032258 -0.481913075554839
3 "LAYING" "Gyro" "Z" -0.974761514032258 -0.569325768790323
3 "SITTING" "Acc" "X" 0.257197599134615 -0.971010120961538
3 "SITTING" "Acc" "Y" -0.00350299841730769 -0.856617812115385
3 "SITTING" "Acc" "Z" -0.0983579203269231 -0.875110175384615
3 "SITTING" "Gyro" "X" -0.963848830961539 -0.865204213653846
3 "SITTING" "Gyro" "Y" -0.980044058461538 -0.532480449730769
3 "SITTING" "Gyro" "Z" -0.885422295961538 -0.311828096711538
3 "STANDING" "Acc" "X" 0.280046513278689 -0.96674254295082
3 "STANDING" "Acc" "Y" -0.0143376555065574 -0.893449307213115
3 "STANDING" "Acc" "Z" -0.101621722633148 -0.911419015081967
3 "STANDING" "Gyro" "X" -0.98525432852459 -0.899849162786885
3 "STANDING" "Gyro" "Y" -0.982419032295082 -0.326560323477049
3 "STANDING" "Gyro" "Z" -0.918584519180328 -0.319098932032787
3 "WALKING" "Acc" "X" 0.275567462068966 -0.360356726034483
3 "WALKING" "Acc" "Y" -0.0171767844203448 -0.0699140652103448
3 "WALKING" "Acc" "Z" -0.112674859827586 -0.387411994310345
3 "WALKING" "Gyro" "X" -0.826168522413793 -0.422365772068966
3 "WALKING" "Gyro" "Y" -0.519862183793103 0.249391492775862
3 "WALKING" "Gyro" "Z" -0.293566317586207 0.326226629310345
3 "WALKING_DOWNSTAIRS" "Acc" "X" 0.292423484693878 -0.0574100475102041
3 "WALKING_DOWNSTAIRS" "Acc" "Y" -0.0193554079328571 -0.0331503723387755
3 "WALKING_DOWNSTAIRS" "Acc" "Z" -0.116139842908163 -0.362240245489796
3 "WALKING_DOWNSTAIRS" "Gyro" "X" -0.805886497346939 -0.381759654693878
3 "WALKING_DOWNSTAIRS" "Gyro" "Y" -0.335621441836735 0.186420273246939
3 "WALKING_DOWNSTAIRS" "Gyro" "Z" -0.244974245836735 0.284493854081633
3 "WALKING_UPSTAIRS" "Acc" "X" 0.260819873067797 -0.313123437627119
3 "WALKING_UPSTAIRS" "Acc" "Y" -0.0324109410555932 0.0116280813372881
3 "WALKING_UPSTAIRS" "Acc" "Z" -0.110064863437288 -0.369754604067797
3 "WALKING_UPSTAIRS" "Gyro" "X" -0.813607422033898 -0.339921978864407
3 "WALKING_UPSTAIRS" "Gyro" "Y" -0.450192095423729 0.520150458983051
3 "WALKING_UPSTAIRS" "Gyro" "Z" -0.248724703169492 0.303195794389831
4 "LAYING" "Acc" "X" 0.263559214981481 -0.954193738888889
4 "LAYING" "Acc" "Y" -0.0150031841055556 -0.941714042407407
4 "LAYING" "Acc" "Z" -0.110688150314815 -0.962667314814815
4 "LAYING" "Gyro" "X" -0.997204960740741 -0.962377354814815
4 "LAYING" "Gyro" "Y" -0.968542931481482 -0.347395084333333
4 "LAYING" "Gyro" "Z" -0.962524585555556 -0.515419483240741
4 "SITTING" "Acc" "X" 0.27153827992 -0.980309931
4 "SITTING" "Acc" "Y" -0.007163065158 -0.89022398108
4 "SITTING" "Acc" "Z" -0.10587459588 -0.9322030066
4 "SITTING" "Gyro" "X" -0.9889901502 -0.9297869206
4 "SITTING" "Gyro" "Y" -0.9853835136 -0.441399027406
4 "SITTING" "Gyro" "Z" -0.9129438042 -0.2951118988
4 "STANDING" "Acc" "X" 0.280499745892857 -0.97692058
4 "STANDING" "Acc" "Y" -0.00948911098553571 -0.86159737875
4 "STANDING" "Acc" "Z" -0.0961574905535714 -0.896880538392857
4 "STANDING" "Gyro" "X" -0.974414689285714 -0.882997324160714
4 "STANDING" "Gyro" "Y" -0.982695910535714 -0.420718403428571
